Tabela 2 - Gorduras e açúcar na composição de alimentos por 100 gramas de parte comestível,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,(continuação)
Código e descrição do alimento ,,Código e descrição da preparação,,"Coles-
terol
(mg)","AG
Satura-
dos
(g)","AG
Mono 
(g)","AG
Poli 
(g)","AG
Lino-
léico 
(g)","AG
Linolê-
nico 
(g)","AG
Trans
total
(g)","Açúcar
total
(g)","Açúcar
de
adição
(g)"
Cereais e leguminosas,,,,,,,,,,,,
6900706,Confete,99,Não se aplica,"14,00","13,08","5,18","0,92","0,86","0,06","0,17","63,30","57,75"
6900801,Chocolate em pó de qualquer marca,99,Não se aplica,"0,45","0,80","1,54","1,04","1,01","0,03","0,37","80,44","77,59"
6900818,Ovomaltine,99,Não se aplica,"5,82","1,62","2,68","0,74","0,69","0,04","0,99","70,81","51,34"
6900821,Achocolatado em pó,99,Não se aplica,-,"2,27",-,-,-,-,-,"77,39","77,24"
6900822,Toddynho,99,Não se aplica,"12,05","2,11","0,99","0,12","0,08","0,05","0,12","10,14","5,09"
6900901,Bombom de qualquer marca,99,Não se aplica,-,-,-,-,-,-,-,"84,44","93,18"
6900904,Trufa ,99,Não se aplica,"32,32","20,83","11,78","1,89","1,69","0,19","0,88","41,35","40,34"
6901001,Geleia de frutas de qualquer marca ou sabor,99,Não se aplica,-,"0,01","0,04",-,-,-,-,"48,90","65,51"
6901002,Mousse de qualquer sabor (Geleia) ,99,Não se aplica,"159,21","12,59","6,92","0,94","0,76","0,14","0,46","29,84","28,14"
6901101,Geleia de mocotó,99,Não se aplica,-,-,-,-,-,-,-,"27,97","27,99"
6901201,Doce de frutas em pasta de qualquer sabor,99,Não se aplica,-,"0,08","0,03","0,12","0,09","0,03",-,"72,58","69,99"
6901203,Pasta de amendoim,99,Não se aplica,-,"10,51","24,22","14,16","14,08","0,08",-,"9,22","4,90"
6901204,Pessegada,99,Não se aplica,-,-,"0,02","0,02","0,02",-,-,"16,06","11,21"
6901206,Marmelada,99,Não se aplica,-,"0,01","0,04",-,-,-,-,"48,90","65,51"
6901209,Figada,99,Não se aplica,-,"0,02","0,02","0,05","0,05",-,-,"16,75","13,30"
6901211,Goiabada,99,Não se aplica,-,"0,08","0,03","0,12","0,09","0,03",-,"72,58","69,99"
6901214,Caju em pasta,99,Não se aplica,-,"0,08","0,03","0,12","0,09","0,03",-,"72,58","69,99"
6901224,Mariola,99,Não se aplica,-,"0,08","0,03","0,12","0,09","0,03",-,"72,58","69,99"
6901301,Doce de frutas em calda de qualquer sabor,99,Não se aplica,-,-,"0,02","0,02","0,02",-,-,"16,06","11,21"
6901401,Doce de frutas cristalizado de qualquer sabor,99,Não se aplica,-,"0,08","0,03","0,12","0,09","0,03",-,"72,58","69,99"
6901501,Melado,99,Não se aplica,-,-,-,-,-,-,-,"42,20","60,80"
6901602,Mel ,99,Não se aplica,-,-,-,-,-,-,-,"82,13","82,40"
6901701,Gelatina de qualquer sabor,99,Não se aplica,-,"0,01","0,04",-,-,-,-,"48,90","65,51"
6901801,Adoçante artificial,99,Não se aplica,-,-,-,-,-,-,-,-,-
6902004,Merengue,99,Não se aplica,-,-,-,-,-,-,-,"85,54","85,21"
6902301,Schimier de cana,99,Não se aplica,-,-,-,-,-,-,-,"42,20","60,80"
6902401,Fruta seca ou desidratada,99,Não se aplica,-,"0,09","0,05","0,06","0,04","0,02",-,"38,12",-
6902402,Passa,99,Não se aplica,-,"0,06","0,05","0,04","0,03","0,01",-,"57,88",-
6902601,Pudim de qualquer sabor,99,Não se aplica,"122,51","2,14","1,66","0,52","0,41","0,06","0,08","15,90","12,02"
6902607,Danette pudim,99,Não se aplica,"122,51","2,14","1,66","0,52","0,41","0,06","0,08","15,90","12,02"
6902701,Manjar,99,Não se aplica,"118,44","6,63","2,68","0,56","0,43","0,08","0,20","38,63","31,61"
6902901,Cuscuz,99,Não se aplica,-,"0,04","0,03","0,09","0,08",-,-,"0,72",-
6902902,Cuscuz de tapioca,99,Não se aplica,"63,11","1,99","1,21","0,35","0,25","0,07","0,10","13,20","8,60"
6903001,Maria-mole,99,Não se aplica,-,"17,68","0,85","0,22","0,22",-,-,"61,43","61,91"
6903101,Cocada,99,Não se aplica,-,"11,01","0,53","0,14","0,14",-,-,"62,21","71,44"
6903102,Quebra-queixo,99,Não se aplica,-,"11,01","0,53","0,14","0,14",-,-,"62,21","71,44"
6903201,Doce de amendoim,99,Não se aplica,-,"4,06","11,76","6,84","6,71","0,07","0,96","39,22","49,15"
6903202,Pé de moleque,99,Não se aplica,-,"2,36","8,44","5,38","5,38",-,-,"55,51","58,45"
6903203,Paçoca,99,Não se aplica,-,"2,99","10,68","6,80","6,80",-,-,"15,14","13,33"
6903204,Torrão de amendoim,99,Não se aplica,-,"1,86","15,39","6,02","6,01","0,00","0,01","47,33","45,45"
6903205,Paçoquinha de amendoim,99,Não se aplica,-,"2,99","10,68","6,80","6,80",-,-,"15,14","13,33"
6903207,Amendoim caramelizado,99,Não se aplica,-,"2,36","8,44","5,38","5,38",-,-,"55,51","58,45"
6903208,Amendoim amanteigado,99,Não se aplica,-,"6,83","24,43","15,56","15,56","0,00",-,"4,00",-
6903209,Amendoim achocolatado,99,Não se aplica,"9,00","14,60","12,92","4,33","4,22","0,04","0,04","40,90","37,88"
6903303,Amendoim apimentado,99,Não se aplica,-,"6,83","24,43","15,56","15,56","0,00",-,"4,00",-
6903304,Amendoim cozido,99,Não se aplica,-,"3,06","10,92","6,96","6,95","0,00",-,"2,02",-
6903601,Brigadeiro,99,Não se aplica,"31,69","5,49","3,20","0,94","0,78","0,16","0,59","52,59","43,90"
6903701,Bomba de qualquer tipo,99,Não se aplica,"194,01","15,90","7,70","1,27","1,06","0,16","0,91","4,95","3,57"
6903801,Mil folhas,99,Não se aplica,"56,04","14,38","9,89","3,23","2,98","0,24","2,05","31,50","31,28"
6903901,Queijadinha,99,Não se aplica,-,"11,01","0,53","0,14","0,14",-,-,"62,21","71,44"
6904101,Doce à base de ovos,99,Não se aplica,"122,51","2,14","1,66","0,52","0,41","0,06","0,08","15,90","12,02"
6904104,Caçarola italiana,99,Não se aplica,"118,44","6,63","2,68","0,56","0,43","0,08","0,20","38,63","31,61"
6904105,Quindim,99,Não se aplica,"122,51","2,14","1,66","0,52","0,41","0,06","0,08","15,90","12,02"
6904108,Fios de ovos,99,Não se aplica,"122,51","2,14","1,66","0,52","0,41","0,06","0,08","15,90","12,02"
6904201,Doce à base de leite,99,Não se aplica,"33,86","5,46","2,42","0,34","0,22","0,12","0,31","52,51","43,02"
6904202,Pavê de qualquer sabor,99,Não se aplica,"151,85","12,88","7,03","1,25","0,92","0,28","0,94","17,10","14,67"
6904203,Ambrosia,99,Não se aplica,"75,36","1,72","1,18","0,38","0,29","0,07","0,07","23,26","20,45"
6904204,Leite geleificado,99,Não se aplica,"122,51","2,14","1,66","0,52","0,41","0,06","0,08","15,90","12,02"
6904205,Chandele de qualquer sabor,99,Não se aplica,"122,51","2,14","1,66","0,52","0,41","0,06","0,08","15,90","12,02"
6904302,Mumu ,99,Não se aplica,"33,86","5,46","2,42","0,34","0,22","0,12","0,31","52,51","43,02"
6904401,Canudinho recheado,99,Não se aplica,"0,28","3,61","0,34","0,28","0,27","0,01",-,"8,86","5,57"
6904501,Sarolho,99,Não se aplica,-,-,-,-,-,-,-,-,-
6904502,Beiju,99,Não se aplica,-,-,-,-,-,-,-,-,-
6904601,Schimier de fruta (exceto de cana),99,Não se aplica,-,"0,01","0,04",-,-,-,-,"48,90","65,51"
6904701,Beijo de moça,99,Não se aplica,-,-,-,-,-,-,-,"99,91","99,98"
6904801,Picolé ensacado,99,Não se aplica,-,"0,01","0,05","0,02","0,02",-,-,"13,67","19,23"
6904807,Geladinho,99,Não se aplica,-,"0,01","0,01","0,03","0,02","0,01",-,"26,13","29,78"
6905001,Churro,99,Não se aplica,"61,38","14,71","6,03","0,99","0,90","0,10","0,94","24,81","25,54"
6905101,Pamonha,99,Não se aplica,-,"0,50","0,70","1,40","1,32","0,09","0,11",-,-
6905401,Algodão-doce,99,Não se aplica,-,-,-,-,-,-,-,"99,91","99,98"
6905603,Io-Iô crem (chocolate em creme),99,Não se aplica,"1,00","3,98","3,86","0,28","0,25","0,02",-,"48,37","38,30"
6905801,Ovo de páscoa,99,Não se aplica,"23,00","20,78","15,87","1,26","1,06","0,12","0,09","54,80","46,99"
6905804,Kinder ovo,99,Não se aplica,"23,00","20,78","15,87","1,26","1,06","0,12","0,09","54,80","46,99"
6905901,Torrone,99,Não se aplica,-,"1,86","15,39","6,02","6,01","0,00","0,01","47,33","45,45"
6906001,Arroz-doce,99,Não se aplica,"6,94","1,32","0,59","0,16","0,10","0,06","0,08","10,76","7,11"
6906404,Polpa de coco,99,Não se aplica,-,-,-,-,-,-,-,-,-
6906501,Diet shake,99,Não se aplica,"5,27","0,76","0,42","0,41","0,37","0,05","0,01","59,33","39,64"
6906502,Concentrado alimentar diet shake,99,Não se aplica,"5,27","0,76","0,42","0,41","0,37","0,05","0,01","59,33","39,64"
6906602,Açúcar ,99,Não se aplica,-,-,-,-,-,-,-,"99,91","99,98"
6907001,Açúcar light,99,Não se aplica,-,-,-,-,-,-,-,-,-
6907201,Barra de cereais,99,Não se aplica,-,"0,93","1,71","5,32","5,30","0,02","0,04","37,40","49,22"
6907202,Barra de cereais salgada,99,Não se aplica,-,"0,93","1,71","5,32","5,30","0,02","0,04","37,40","49,22"
6907203,Barra de cereais doce,99,Não se aplica,-,"0,93","1,71","5,32","5,30","0,02","0,04","37,40","49,22"
6907301,Sobremesa de qualquer tipo (exceto infantil),99,Não se aplica,"122,51","2,14","1,66","0,52","0,41","0,06","0,08","15,90","12,02"
6907401,Rabanada,99,Não se aplica,"38,00","3,40","9,00","2,90","2,80",-,"0,10",-,-
6907501,Milk shake ,99,Não se aplica,"25,08","3,96","1,74","0,26","0,16","0,09","0,24","17,79","19,07"
6907901,Geleia diet,99,Não se aplica,-,"0,01","0,02","0,09","0,05","0,04",-,"3,02",-
6908001,Doce de frutas diet,99,Não se aplica,-,"0,01","0,02","0,09","0,05","0,04",-,"3,02",-
6908401,Pastéis de santa clara,99,Não se aplica,"122,51","2,14","1,66","0,52","0,41","0,06","0,08","15,90","12,02"
6908501,Suspiro,99,Não se aplica,-,-,-,-,-,-,-,"85,54","85,21"
6909301,Doce de frutas cristalizado de qualquer sabor diet,99,Não se aplica,-,"0,01","0,02","0,09","0,05","0,04",-,"3,02",-
6909601,Sorvete de qualquer sabor industrializado light,99,Não se aplica,"33,00","4,70","2,10","0,30","0,19","0,11","0,25","22,11","17,46"
6909701,Sorvete de qualquer sabor industrializado diet,99,Não se aplica,"32,00","6,79","3,17","0,41","0,25","0,16","0,45","5,93",-
6909803,Bala light,99,Não se aplica,-,-,-,-,-,-,-,-,-
6909901,Chiclete diet,99,Não se aplica,-,-,-,-,-,-,-,-,-
6909903,Bala diet,99,Não se aplica,-,-,-,-,-,-,-,-,-
6910002,Barra de chocolate light,99,Não se aplica,"2,80","21,17","15,73","2,84","2,76","0,05","0,01","31,32","24,57"
6910102,Barra de chocolate diet,99,Não se aplica,"2,80","21,17","15,73","2,84","2,76","0,05","0,01","31,32","24,57"
6910221,Achocolatado em pó light,99,Não se aplica,"7,16","1,44","0,76","0,08","0,07","0,01","0,02","46,18","14,16"
6910321,Achocolatado em pó diet,99,Não se aplica,"7,16","1,44","0,76","0,08","0,07","0,01","0,02","46,18","14,16"
6910322,Toddynho diet,99,Não se aplica,"9,59","2,01","0,90","0,21","0,14","0,07","0,11","6,24",-
6910401,Bombom de qualquer marca light,99,Não se aplica,-,-,-,-,-,-,-,"84,44","93,18"
6910501,Bombom de qualquer marca diet,99,Não se aplica,-,-,-,-,-,-,-,"84,44","93,18"
6910502,Bombom caramelizado de qualquer marca diet,99,Não se aplica,-,-,-,-,-,-,-,"84,44","93,18"
6910601,Geleia de frutas de qualquer marca ou sabor light,99,Não se aplica,-,"0,02","0,00","0,01","0,01","0,00",-,"45,61","36,07"
6910604,Geleia light,99,Não se aplica,-,"0,02","0,00","0,01","0,01","0,00",-,"45,61","36,07"
6910605,Geleia de frutas light,99,Não se aplica,-,"0,02","0,00","0,01","0,01","0,00",-,"45,61","36,07"
6910701,Doce de frutas em barra ou pasta light,99,Não se aplica,-,"0,02","0,00","0,01","0,01","0,00",-,"45,61","36,07"
6910702,Doce de frutas em pasta light,99,Não se aplica,-,"0,02","0,00","0,01","0,01","0,00",-,"45,61","36,07"
6910801,Pudim de qualquer sabor light,99,Não se aplica,"119,18","1,32","1,30","0,41","0,35","0,01","0,03","15,86","12,02"
6910808,Pudim danette light,99,Não se aplica,"119,18","1,32","1,30","0,41","0,35","0,01","0,03","15,86","12,02"
6910901,Pudim de qualquer sabor diet,99,Não se aplica,"119,18","1,32","1,30","0,41","0,35","0,01","0,03","15,86","12,02"
6911201,Doce de leite light,99,Não se aplica,"13,25","2,08","0,91","0,22","0,13","0,08","0,14","59,91","48,07"
6911301,Doce de leite diet,99,Não se aplica,"13,25","2,08","0,91","0,22","0,13","0,08","0,14","59,91","48,07"
6912501,Barra de cereais diet,99,Não se aplica,-,"0,55","2,80","1,69","1,25","0,44","0,02","38,43","12,43"
6912502,Barra de cereais doce diet,99,Não se aplica,-,"0,55","2,80","1,69","1,25","0,44","0,02","38,43","12,43"
6912801,Milk shake diet,99,Não se aplica,"5,27","0,76","0,42","0,41","0,37","0,05","0,01","59,33","39,64"
6913001,Cocada diet,99,Não se aplica,-,"11,01","0,53","0,14","0,14",-,-,"62,21","71,44"
6913101,Doce de amendoim diet,99,Não se aplica,-,"8,69","25,98","15,29","15,10","0,04",-,"4,19",-
6913103,Paçoca diet,99,Não se aplica,-,"8,69","25,98","15,29","15,10","0,04",-,"4,19",-
6913108,Amendoim amanteigado diet,99,Não se aplica,"22,75","7,25","8,70","4,45","4,42","0,03","0,35","1,07",-
6913801,Doce à base de leite diet,99,Não se aplica,"13,25","2,08","0,91","0,22","0,13","0,08","0,14","59,91","48,07"
6913901,Gelatina de qualquer sabor light,99,Não se aplica,-,"0,02","0,00","0,01","0,01","0,00",-,"45,61","36,07"
6914001,Adoçante light,99,Não se aplica,-,-,-,-,-,-,-,"80,72","85,67"
6914002,Adoçante em pó light,99,Não se aplica,-,-,-,-,-,-,-,"80,72","85,67"
6914003,Adoçante liquido light,99,Não se aplica,-,-,-,-,-,-,-,-,-
Sais e condimentos,,,,,,,,,,,,
7001501,Mostarda molho,99,Não se aplica,-,"0,25","2,63","0,95","0,44","0,46","0,01","0,86",-
7002304,Hortelã,99,Não se aplica,-,"0,00","0,00","0,01",-,-,-,-,-
7002401,Alcaparra em conserva,99,Não se aplica,-,"0,23","0,06","0,30","0,11","0,18",-,"2,53",-
7002601,Coentro,99,Não se aplica,-,"0,12","2,23","0,33","0,33",-,-,"34,75",-
7003601,Molho de soja,99,Não se aplica,-,"0,01","0,01","0,02","0,02",-,-,"2,00",-
7003604,Shoyo,99,Não se aplica,-,"0,01","0,01","0,02","0,02",-,-,"2,00",-
7003801,Leite de coco,99,Não se aplica,-,"18,49","0,89","0,23","0,23",-,-,"4,68",-
7004301,Maionese (molho),99,Não se aplica,"32,91","3,80","5,47","13,18","11,62","1,54","0,12","10,24","10,44"
7004701,Massa de tomate,99,Não se aplica,-,"0,03","0,03","0,09","0,08","0,00",-,"4,83",-
7004801,Molho de tomate,99,Não se aplica,-,"0,03","0,03","0,07","0,07",-,-,"4,25",-
7004802,Ketchup,99,Não se aplica,-,"0,04","0,05","0,13","0,12","0,00",-,"22,77","16,30"
7004803,Catchup,99,Não se aplica,-,"0,04","0,05","0,13","0,12","0,00",-,"22,77","16,30"
7006101,Pimenta em pó,99,Não se aplica,-,"0,98","1,01","1,13","0,97","0,16",-,-,-
7007101,Tucupi em caldo sem pimenta,99,Não se aplica,-,-,-,"0,00","0,00",-,-,"1,19","1,20"
7007502,Creme de queijo,99,Não se aplica,"51,12","9,84","4,29","0,61","0,46","0,15","0,49","4,84",-
7007701,Caldo de peixe,99,Não se aplica,-,"0,14","0,12","0,16","0,01","0,01",-,"0,16",-
7007901,Caldo de tomate,99,Não se aplica,-,"0,14","0,22","0,37","0,36","0,01","0,03","3,75","2,90"
7009102,Gergelim,99,Não se aplica,-,"9,06","23,92","25,49","25,23","0,26",-,"0,52",-
7010301,Tomate seco,99,Não se aplica,-,"1,89","8,66","2,06","1,98","0,08","0,01","13,90",-
7010401,Maionese (molho) light,99,Não se aplica,"31,09","1,61","2,29","5,17","4,56","0,60","0,05","12,48","12,71"
7010501,Molho de soja light,99,Não se aplica,-,"0,01","0,01","0,04","0,03","0,00",-,"2,10",-
7010601,Leite de coco light,99,Não se aplica,-,"18,49","0,89","0,23","0,23",-,-,"4,68",-
7079202,Vinagrete,99,Não se aplica,-,"0,87","4,47","0,67","0,63","0,05","0,01","3,42",-
Carnes e vísceras,,,,,,,,,,,,
7100101,Filé-mignon,2,Cozido(a),"58,00","3,42","3,92","0,35","0,24","0,09","0,41",-,-
7100101,Filé-mignon,3,Grelhado(a)/brasa/churrasco,"58,00","3,42","3,92","0,35","0,24","0,09","0,41",-,-
7100101,Filé-mignon,4,Assado(a),"58,00","3,42","3,92","0,35","0,24","0,09","0,41",-,-
7100101,Filé-mignon,5,Frito(a),"58,00","3,82","4,50","1,83","1,54","0,26","0,42",-,-
7100101,Filé-mignon,6,Empanado(a)/à milanesa,"58,00","3,82","4,51","1,85","1,56","0,26","0,42","0,01",-
7100101,Filé-mignon,7,Refogado(a),"58,00","3,82","4,50","1,83","1,54","0,26","0,42",-,-
7100101,Filé-mignon,8,Molho vermelho,"46,40","2,74","3,14","0,29","0,20","0,07","0,33","0,85",-
7100101,Filé-mignon,9,Molho branco,"53,23","4,26","3,77","0,39","0,28","0,09","0,42","1,03",-
7100101,Filé-mignon,11,Com manteiga/óleo,"63,74","4,79","4,48","0,43","0,31","0,10","0,50","0,00",-
7100101,Filé-mignon,99,Não se aplica,"58,00","3,42","3,92","0,35","0,24","0,09","0,41",-,-
7100201,Contrafilé,2,Cozido(a),"58,00","3,42","3,92","0,35","0,24","0,09","0,41",-,-
7100201,Contrafilé,3,Grelhado(a)/brasa/churrasco,"58,00","3,42","3,92","0,35","0,24","0,09","0,41",-,-
7100201,Contrafilé,4,Assado(a),"58,00","3,42","3,92","0,35","0,24","0,09","0,41",-,-
7100201,Contrafilé,5,Frito(a),"58,00","3,82","4,50","1,83","1,54","0,26","0,42",-,-
7100201,Contrafilé,6,Empanado(a)/à milanesa,"58,00","3,82","4,51","1,85","1,56","0,26","0,42","0,01",-
7100201,Contrafilé,7,Refogado(a),"58,00","3,82","4,50","1,83","1,54","0,26","0,42",-,-
7100201,Contrafilé,8,Molho vermelho,"46,40","2,74","3,14","0,29","0,20","0,07","0,33","0,85",-
7100205,Bisteca bovina,1,Cru(a),"94,00","17,80","18,88","1,53","0,98","0,50","1,91",-,-
7100205,Bisteca bovina,2,Cozido(a),"94,00","17,80","18,88","1,53","0,98","0,50","1,91",-,-
7100205,Bisteca bovina,3,Grelhado(a)/brasa/churrasco,"94,00","17,80","18,88","1,53","0,98","0,50","1,91",-,-
7100205,Bisteca bovina,4,Assado(a),"94,00","17,80","18,88","1,53","0,98","0,50","1,91",-,-
7100205,Bisteca bovina,5,Frito(a),"94,00","17,80","18,88","1,53","0,98","0,50","1,91",-,-
7100205,Bisteca bovina,6,Empanado(a)/à milanesa,"105,00","8,30","9,24","2,24","1,84","0,35","0,92","0,01",-
7100205,Bisteca bovina,7,Refogado(a),"94,00","17,80","18,88","1,53","0,98","0,50","1,91",-,-
7100205,Bisteca bovina,8,Molho vermelho,"75,20","14,25","15,11","1,24","0,80","0,40","1,53","0,85",-
7100301,Alcatra,1,Cru(a),"58,00","3,42","3,92","0,35","0,24","0,09","0,41",-,-
7100301,Alcatra ,2,Cozido(a),"58,00","3,42","3,92","0,35","0,24","0,09","0,41",-,-
7100301,Alcatra,3,Grelhado(a)/brasa/churrasco,"58,00","3,42","3,92","0,35","0,24","0,09","0,41",-,-
7100301,Alcatra,4,Assado(a),"58,00","3,42","3,92","0,35","0,24","0,09","0,41",-,-
7100301,Alcatra,5,Frito(a),"58,00","4,29","5,20","3,59","3,10","0,47","0,44",-,-
7100301,Alcatra,6,Empanado(a)/à milanesa,"58,00","4,29","5,20","3,59","3,10","0,47","0,44",-,-
7100301,Alcatra,7,Refogado(a),"58,00","4,29","5,20","3,59","3,10","0,47","0,44",-,-
7100301,Alcatra,8,Molho vermelho,"46,40","2,74","3,14","0,29","0,20","0,07","0,33","0,85",-
7100301,Alcatra,12,Ao vinagrete,"58,00","3,42","3,92","0,35","0,24","0,09","0,41",-,-
7100301,Alcatra,13,Ensopado,"58,00","4,29","5,20","3,59","3,10","0,47","0,44",-,-
7100303,Maminha,3,Grelhado(a)/brasa/churrasco,"90,00","1,72","2,00","0,22","0,17","0,02","0,23",-,-
7100303,Maminha,4,Assado(a),"90,00","1,72","2,00","0,22","0,17","0,02","0,23",-,-
7100303,Maminha,5,Frito(a),"90,00","2,60","3,28","3,46","3,03","0,40","0,26",-,-
7100303,Maminha,8,Molho vermelho,"72,00","1,38","1,61","0,19","0,15","0,02","0,18","0,85",-
7100304,Picanha,2,Cozido(a),"58,00","3,42","3,92","0,35","0,24","0,09","0,41",-,-
7100304,Picanha,3,Grelhado(a)/brasa/churrasco,"58,00","3,42","3,92","0,35","0,24","0,09","0,41",-,-
7100304,Picanha,4,Assado(a),"58,00","3,42","3,92","0,35","0,24","0,09","0,41",-,-
7100304,Picanha ,5,Frito(a),"58,00","4,29","5,20","3,59","3,10","0,47","0,44",-,-
7100304,Picanha ,13,Ensopado,"58,00","4,29","5,20","3,59","3,10","0,47","0,44",-,-
7100501,Patinho,2,Cozido(a),"90,00","1,72","2,00","0,22","0,17","0,02","0,23",-,-
7100501,Patinho,3,Grelhado(a)/brasa/churrasco,"90,00","1,72","2,00","0,22","0,17","0,02","0,23",-,-
7100501,Patinho,4,Assado(a),"90,00","1,72","2,00","0,22","0,17","0,02","0,23",-,-
7100501,Patinho,5,Frito(a),"90,00","2,60","3,28","3,46","3,03","0,40","0,26",-,-
7100501,Patinho,6,Empanado(a)/à milanesa,"90,00","2,60","3,28","3,46","3,03","0,40","0,26",-,-
7100501,Patinho,8,Molho vermelho,"72,00","1,38","1,61","0,19","0,15","0,02","0,18","0,85",-
7100501,Patinho,13,Ensopado,"90,00","2,60","3,28","3,46","3,03","0,40","0,26",-,-
7100502,Cabeça de lombo (carne bovina),2,Cozido(a),"90,00","1,72","2,00","0,22","0,17","0,02","0,23",-,-
7100502,Cabeça de lombo (carne bovina),3,Grelhado(a)/brasa/churrasco,"90,00","1,72","2,00","0,22","0,17","0,02","0,23",-,-
7100502,Cabeça de lombo (carne bovina),4,Assado(a),"90,00","1,72","2,00","0,22","0,17","0,02","0,23",-,-
7100502,Cabeça de lombo (carne bovina),5,Frito(a),"90,00","2,60","3,28","3,46","3,03","0,40","0,26",-,-
7100502,Cabeça de lombo (carne bovina),6,Empanado(a)/à milanesa,"90,00","2,60","3,28","3,46","3,03","0,40","0,26",-,-
7100502,Cabeça de lombo (carne bovina),7,Refogado(a),"90,00","2,60","3,28","3,46","3,03","0,40","0,26",-,-
7100604,Posta branca,2,Cozido(a),"90,00","1,72","2,00","0,22","0,17","0,02","0,23",-,-
7100604,Posta branca,5,Frito(a),"90,00","2,60","3,28","3,46","3,03","0,40","0,26",-,-
7100604,Posta branca,8,Molho vermelho,"72,00","1,38","1,61","0,19","0,15","0,02","0,18","0,85",-
7100606,Tatu (lagarto redondo),2,Cozido(a),"90,00","1,72","2,00","0,22","0,17","0,02","0,23",-,-
7100606,Tatu (lagarto redondo),4,Assado(a),"90,00","1,72","2,00","0,22","0,17","0,02","0,23",-,-
7100606,Tatu (lagarto redondo),7,Refogado(a),"90,00","2,60","3,28","3,46","3,03","0,40","0,26",-,-
7100606,Tatu (lagarto redondo),99,Não se aplica,"90,00","1,72","2,00","0,22","0,17","0,02","0,23",-,-
7100607,Paulista,2,Cozido(a),"90,00","1,72","2,00","0,22","0,17","0,02","0,23",-,-
7100607,Paulista,4,Assado(a),"90,00","1,72","2,00","0,22","0,17","0,02","0,23",-,-
7100608,Lombo paulista (carne bovina),2,Cozido(a),"90,00","1,72","2,00","0,22","0,17","0,02","0,23",-,-
7100608,Lombo paulista (carne bovina),4,Assado(a),"90,00","1,72","2,00","0,22","0,17","0,02","0,23",-,-
7100608,Lombo paulista (carne bovina),5,Frito(a),"90,00","2,60","3,28","3,46","3,03","0,40","0,26",-,-
7100608,Lombo paulista (carne bovina),13,Ensopado,"90,00","2,60","3,28","3,46","3,03","0,40","0,26",-,-
7100702,Posta vermelha,2,Cozido(a),"90,00","1,72","2,00","0,22","0,17","0,02","0,23",-,-
7100801,Acém,2,Cozido(a),"75,00","5,74","7,00","0,61","0,42","0,16","0,68",-,-
7100801,Acém,4,Assado(a),"75,00","5,74","7,00","0,61","0,42","0,16","0,68",-,-
7100801,Acém,5,Frito(a),"75,00","6,14","7,59","2,09","1,72","0,34","0,69",-,-
7100801,Acém,6,Empanado(a)/à milanesa,"75,00","6,15","7,59","2,11","1,74","0,34","0,69","0,01",-
7100801,Acém,7,Refogado(a),"75,00","6,14","7,59","2,09","1,72","0,34","0,69",-,-
7100801,Acém,13,Ensopado,"75,00","6,14","7,59","2,09","1,72","0,34","0,69",-,-
7100803,Agulha (acém),2,Cozido(a),"75,00","5,74","7,00","0,61","0,42","0,16","0,68",-,-
7100803,Agulha (acém),4,Assado(a),"75,00","5,74","7,00","0,61","0,42","0,16","0,68",-,-
7100803,Agulha (acém),5,Frito(a),"75,00","6,14","7,59","2,09","1,72","0,34","0,69",-,-
7100905,Paleta ,2,Cozido(a),"75,00","5,74","7,00","0,61","0,42","0,16","0,68",-,-
7100905,Paleta ,5,Frito(a),"75,00","6,14","7,59","2,09","1,72","0,34","0,69",-,-
7100905,Paleta ,8,Molho vermelho,"60,00","4,60","5,61","0,51","0,35","0,13","0,54","0,85",-
7100905,Paleta ,13,Ensopado,"75,00","6,14","7,59","2,09","1,72","0,34","0,69",-,-
7100908,Pá com osso,2,Cozido(a),"75,00","5,74","7,00","0,61","0,42","0,16","0,68",-,-
7100908,Pá com osso,3,Grelhado(a)/brasa/churrasco,"75,00","5,74","7,00","0,61","0,42","0,16","0,68",-,-
7100908,Pá com osso,4,Assado(a),"75,00","5,74","7,00","0,61","0,42","0,16","0,68",-,-
7101001,Músculo bovino,2,Cozido(a),"90,00","1,72","2,00","0,22","0,17","0,02","0,23",-,-
7101001,Músculo bovino,4,Assado(a),"90,00","1,72","2,00","0,22","0,17","0,02","0,23",-,-
7101001,Músculo bovino,8,Molho vermelho,"72,00","1,38","1,61","0,19","0,15","0,02","0,18","0,85",-
7101001,Músculo bovino,13,Ensopado,"90,00","2,12","2,58","1,70","1,48","0,19","0,24",-,-
7101001,Músculo bovino,15,Sopa,"7,86","0,68","0,79","0,09","0,07","0,02","0,08","0,24",-
7101006,Chambaril,2,Cozido(a),"75,00","5,74","7,00","0,61","0,42","0,16","0,68",-,-
7101006,Chambaril,4,Assado(a),"75,00","5,74","7,00","0,61","0,42","0,16","0,68",-,-
7101006,Chambaril,7,Refogado(a),"75,00","6,14","7,59","2,09","1,72","0,34","0,69",-,-
7101009,Carne marica bovina,2,Cozido(a),"90,00","1,72","2,00","0,22","0,17","0,02","0,23",-,-
7101009,Carne marica bovina,5,Frito(a),"90,00","2,12","2,58","1,70","1,48","0,19","0,24",-,-
7101009,Carne marica bovina,7,Refogado(a),"90,00","2,12","2,58","1,70","1,48","0,19","0,24",-,-
