Tabela 2 - Gorduras e açúcar na composição de alimentos por 100 gramas de parte comestível,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,(continuação)
Código e descrição do alimento ,,Código e descrição da preparação,,"Coles-
terol
(mg)","AG
Satura-
dos
(g)","AG
Mono 
(g)","AG
Poli 
(g)","AG
Lino-
léico 
(g)","AG
Linolê-
nico 
(g)","AG
Trans
total
(g)","Açúcar
total
(g)","Açúcar
de
adição
(g)"
Cereais e leguminosas,,,,,,,,,,,,
6400303,Mandioquinha salsa (batata-baroa),13,Ensopado,-,"0,29","0,41","1,09","0,97","0,12",-,"5,74",-
6400303,Mandioquinha salsa (batata-baroa),99,Não se aplica,-,"0,03",-,"0,06","0,06",-,-,"5,74",-
6400304,Cenoura amarela (batata-baroa),99,Não se aplica,-,"0,03",-,"0,06","0,06",-,-,"5,74",-
6400401,Batata-doce,1,Cru(a),-,"0,03",-,"0,06","0,06",-,-,"5,74",-
6400401,Batata-doce,2,Cozido(a),-,"0,03",-,"0,06","0,06",-,-,"5,74",-
6400401,Batata-doce,4,Assado(a),-,"0,03",-,"0,06","0,06",-,-,"6,47",-
6400401,Batata-doce,5,Frito(a),-,"1,85","2,83","7,22","6,39","0,83",-,"18,43",-
6400401,Batata-doce,7,Refogado(a),-,"0,29","0,41","1,09","0,97","0,12",-,"5,74",-
6400401,Batata-doce,13,Ensopado,-,"0,29","0,41","1,09","0,97","0,12",-,"5,74",-
6400401,Batata-doce,99,Não se aplica,-,"0,03",-,"0,06","0,06",-,-,"5,74",-
6400501,Inhame,1,Cru(a),-,"0,03","0,01","0,05","0,04","0,01",-,"6,47",-
6400501,Inhame,2,Cozido(a),-,"0,03","0,01","0,05","0,04","0,01",-,"6,47",-
6400501,Inhame,4,Assado(a),-,"0,03",-,"0,06","0,06",-,-,"6,47",-
6400501,Inhame,5,Frito(a),-,"0,28","0,42","1,08","0,95","0,13",-,"6,47",-
6400501,Inhame,7,Refogado(a),-,"0,28","0,42","1,08","0,95","0,13",-,"6,47",-
6400501,Inhame,13,Ensopado,-,"0,28","0,42","1,08","0,95","0,13",-,"6,47",-
6400501,Inhame,15,Sopa,-,"0,04","0,03","0,03","0,03","0,01","0,00","3,28","2,52"
6400508,Quicaré,99,Não se aplica,-,"0,03","0,01","0,05","0,04","0,01",-,"6,47",-
6400601,Mandioca,1,Cru(a),-,"0,10","0,10","0,10","0,05","0,01",-,-,-
6400601,Mandioca,2,Cozido(a),-,"0,10","0,10","0,10","0,05","0,01",-,-,-
6400601,Mandioca,4,Assado(a),-,"0,10","0,10","0,10","0,05","0,01",-,-,-
6400601,Mandioca,5,Frito(a),-,"0,87","1,23","2,97","2,58","0,35","0,03",-,-
6400601,Mandioca,7,Refogado(a),-,"0,87","1,23","2,97","2,58","0,35","0,03",-,-
6400601,Mandioca,8,Molho vermelho,-,"0,09","0,09","0,09","0,05","0,01",-,"0,85",-
6400601,Mandioca,11,Com manteiga/óleo,"10,75","2,66","1,15","0,25","0,18","0,03","0,16","0,01",-
6400601,Mandioca,13,Ensopado,-,"0,87","1,23","2,97","2,58","0,35","0,03",-,-
6400601,Mandioca,15,Sopa,-,"0,04","0,03","0,03","0,03","0,01","0,00","3,28","2,52"
6400601,Mandioca,99,Não se aplica,-,"0,10","0,10","0,10","0,05","0,01",-,-,-
6400609,Aipim,2,Cozido(a),-,"0,10","0,10","0,10","0,05","0,01",-,-,-
6400609,Aipim,4,Assado(a),-,"0,10","0,10","0,10","0,05","0,01",-,-,-
6400609,Aipim,5,Frito(a),-,"0,87","1,23","2,97","2,58","0,35","0,03",-,-
6400609,Aipim,6,Empanado(a)/à milanesa,-,"0,87","1,23","2,97","2,58","0,35","0,03",-,-
6400609,Aipim,7,Refogado(a),-,"0,87","1,23","2,97","2,58","0,35","0,03",-,-
6400609,Aipim,8,Molho vermelho,-,"0,09","0,09","0,09","0,05","0,01",-,"0,85",-
6400609,Aipim,11,Com manteiga/óleo,"10,75","2,66","1,15","0,25","0,18","0,03","0,16","0,01",-
6400609,Aipim,13,Ensopado,-,"0,87","1,23","2,97","2,58","0,35","0,03",-,-
6400609,Aipim,15,Sopa,-,"0,04","0,03","0,03","0,03","0,01","0,00","3,28","2,52"
6400609,Aipim,99,Não se aplica,-,"0,10","0,10","0,10","0,05","0,01",-,-,-
6400610,Macaxeira,1,Cru(a),-,"0,10","0,10","0,10","0,05","0,01",-,-,-
6400610,Macaxeira,2,Cozido(a),-,"0,10","0,10","0,10","0,05","0,01",-,-,-
6400610,Macaxeira,4,Assado(a),-,"0,10","0,10","0,10","0,05","0,01",-,-,-
6400610,Macaxeira,5,Frito(a),-,"0,87","1,23","2,97","2,58","0,35","0,03",-,-
6400701,Cará,2,Cozido(a),-,"0,03","0,01","0,05","0,04","0,01",-,"6,47",-
6400701,Cará,5,Frito(a),-,"0,28","0,42","1,08","0,95","0,13",-,"6,47",-
6400701,Cará,7,Refogado(a),-,"0,28","0,42","1,08","0,95","0,13",-,"6,47",-
6400701,Cará,13,Ensopado,-,"0,28","0,42","1,08","0,95","0,13",-,"6,47",-
6400701,Cará,14,Mingau,-,"0,03","0,01","0,05","0,04","0,01",-,"6,47",-
6400701,Cará,15,Sopa,-,"0,04","0,03","0,03","0,03","0,01","0,00","3,28","2,52"
6400713,Inhame caraquento (cará),2,Cozido(a),-,"0,03","0,01","0,05","0,04","0,01",-,"6,47",-
6400802,Batata (não especificada),1,Cru(a),-,"0,03","0,00","0,04","0,03","0,01",-,"0,86",-
6400802,Batata (não especificada),2,Cozido(a),-,"0,03","0,00","0,04","0,03","0,01",-,"0,86",-
6400802,Batata (não especificada),3,Grelhado(a)/brasa/churrasco,-,"0,03","0,00","0,04","0,03","0,01",-,"0,86",-
6400802,Batata (não especificada),4,Assado(a),-,"0,03","0,00","0,04","0,03","0,01",-,"0,86",-
6400802,Batata (não especificada),5,Frito(a),-,"2,15","3,07","7,85","6,92","0,93","0,07","1,44",-
6400802,Batata (não especificada),7,Refogado(a),-,"0,48","0,67","1,72","1,52","0,21","0,02","0,86",-
6400802,Batata (não especificada),8,Molho vermelho,-,"0,03","0,01","0,05","0,04","0,01",-,"1,54",-
6400802,Batata (não especificada),9,Molho branco,"6,83","1,55","0,64","0,15","0,12","0,03","0,10","1,72",-
6400802,Batata (não especificada),12,Ao vinagrete,-,"0,48","0,67","1,72","1,52","0,21","0,02","0,86",-
6400802,Batata (não especificada),13,Ensopado,-,"0,48","0,67","1,72","1,52","0,21","0,02","0,86",-
6400802,Batata (não especificada),15,Sopa,-,"0,04","0,03","0,03","0,03","0,01","0,00","3,28","2,52"
6400802,Batata (não especificada),99,Não se aplica,-,"0,03","0,00","0,04","0,03","0,01",-,"0,86",-
6400908,Mandioquinha,2,Cozido(a),-,"0,03",-,"0,06","0,06",-,-,"5,74",-
6400908,Mandioquinha,5,Frito(a),-,"0,75","1,17","2,95","2,61","0,34",-,"5,45",-
6400908,Mandioquinha,7,Refogado(a),-,"0,29","0,41","1,09","0,97","0,12",-,"5,74",-
6400908,Mandioquinha,13,Ensopado,-,"0,29","0,41","1,09","0,97","0,12",-,"5,74",-
6401001,Rabanete,1,Cru(a),-,"0,03","0,02","0,05","0,02","0,03",-,"0,92",-
6401001,Rabanete,2,Cozido(a),-,"0,03","0,02","0,05","0,02","0,03",-,"2,89",-
6401001,Rabanete,12,Ao vinagrete,-,"0,03","0,02","0,05","0,02","0,03",-,"2,89",-
6401101,Beterraba,1,Cru(a),-,"0,03","0,03","0,06","0,06","0,01",-,"6,50",-
6401101,Beterraba,2,Cozido(a),-,"0,03","0,04","0,06","0,06","0,01",-,"8,80",-
6401101,Beterraba,7,Refogado(a),-,"0,41","0,66","1,61","1,42","0,19",-,"8,80",-
6401101,Beterraba,12,Ao vinagrete,-,"0,03","0,04","0,06","0,06","0,01",-,"8,80",-
6401101,Beterraba,15,Sopa,-,"0,04","0,03","0,03","0,03","0,01","0,00","3,28","2,52"
6401101,Beterraba,99,Não se aplica,-,"0,03","0,03","0,06","0,06","0,01",-,"6,50",-
6401201,Cenoura,1,Cru(a),-,"0,04","0,01","0,12","0,12",-,-,"4,73",-
6401201,Cenoura,2,Cozido(a),-,"0,03","0,01","0,09","0,09",-,-,"3,46",-
6401201,Cenoura,5,Frito(a),-,"0,46","0,70","1,82","1,61","0,20",-,"3,36",-
6401201,Cenoura,7,Refogado(a),-,"0,46","0,70","1,82","1,61","0,20",-,"3,36",-
6401201,Cenoura,8,Molho vermelho,-,"0,03","0,01","0,09","0,08",-,-,"3,62",-
6401201,Cenoura,10,Ao alho e óleo,-,"0,46","0,70","1,82","1,61","0,20",-,"3,36",-
6401201,Cenoura,11,Com manteiga/óleo,"6,52","1,59","0,64","0,18","0,17","0,01","0,10","3,46",-
6401201,Cenoura,12,Ao vinagrete,-,"0,03","0,01","0,09","0,09",-,-,"3,46",-
6401201,Cenoura,13,Ensopado,-,"0,46","0,70","1,82","1,61","0,20",-,"3,36",-
6401201,Cenoura,15,Sopa,-,"0,04","0,03","0,03","0,03","0,01","0,00","3,28","2,52"
6401201,Cenoura,99,Não se aplica,-,"0,04","0,01","0,12","0,12",-,-,"4,73",-
6401301,Nabo,2,Cozido(a),-,"0,01","0,01","0,04","0,01","0,03",-,"1,89",-
6401301,Nabo,7,Refogado(a),-,"0,46","0,67","1,72","1,49","0,23","0,02","1,89",-
6401601,Açafrão,1,Cru(a),-,"1,59","0,43","2,07","0,75","1,24",-,-,-
